EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:51 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,0.999893,0.9999177,0.9998716,0.9998724,0.9999409,0.9998919,0.9998887,0.9998966,0.9998786,0.9998763,0.9999143,0.9998762,0.9998762,0.9998816,0.9999111,0.9998751,0.9999444,0.999945,0.9999167,0.9999015,0.9998842,0.9998722,0.9998716,0.9998763,0.9998715,0.9998763,0.9998751,0.9998762,0.9999115,0.9998712,0.9998711,0.9998762,0.9998762,0.9998716,0.9998766,0.9998762,0.999876,0.9998727,0.9998727,0.9998727,0.9999,0.999871,0.9998788,0.9999077,0.9998907,0.9998763,0.9998762,0.9999472,0.9998762,0.9998716,0.9998762,0.9998763,0.9998763,0.9998762,0.9998762,0.9998762,0.9998762,0.9998762,0.9998762,0.9999455,0.9998762,0.9998763,0.9998762,0.9998762,0.9998722,1,0.9999058,1,1,1,1,1,1
2,0.9998574,0.9998818,0.9998825,0.9998804,0.999912,0.9998654,0.9998634,0.9998692,0.9998709,0.9999543,0.9998823,0.9998695,0.9999485,0.9998761,0.999883,0.9998776,0.9999202,0.9999201,0.9998953,0.9998855,0.9998679,0.9999138,0.9998956,0.9999488,0.9999298,0.9999509,0.9998752,0.9999381,0.9998672,0.999878,0.9998878,0.9999266,0.9999133,0.9998832,0.9998468,0.9999077,0.999843,0.999879,0.999881,0.9998796,0.9998697,0.9998989,0.999842,0.999878,0.9998606,0.9999164,0.9999101,0.9999118,0.9999251,0.9998451,0.9999173,0.9999514,0.999913,0.9998702,0.9999013,0.9999412,0.9999445,0.9999195,0.9998932,0.9999064,0.9999279,0.9999305,0.9998731,0.9999331,0.9998606,1,0.9998741,1,1,1,1,1,1
3,0.9998298,0.9998508,0.9998974,0.9998934,0.9998872,0.999846,0.9998473,0.9998484,0.9998687,1.00002,0.9998564,0.9998735,1.000013,0.99988,0.9998612,0.9998903,0.9999006,0.9998995,0.9998812,0.999878,0.9998594,0.9999505,0.9999149,1.000017,0.9999862,1.000009,0.9998764,0.9999804,0.9998244,0.9998798,0.9999031,0.9999633,0.9999343,0.9998844,0.9998143,0.9999175,0.9998077,0.9998946,0.9998992,0.9998961,0.9998493,0.9999325,0.9998072,0.9998546,0.999835,0.9999347,0.9999234,0.9998755,0.9999635,0.9998119,0.9999323,1.000022,0.9999366,0.99984,0.9999175,1.000002,1.000008,0.9999493,0.9998956,0.999866,0.9999697,0.9999756,0.9998463,0.9999818,0.9998467,1,0.9998538,1,1,1,1,1,1
4,0.9998062,0.9998226,0.9999087,0.9999042,0.9998649,0.999829,0.9998352,0.9998296,0.9998654,1.000066,0.9998333,0.999883,1.000062,0.9998882,0.9998419,0.9999071,0.9998838,0.999881,0.9998713,0.9998755,0.9998527,0.9999803,0.9999285,1.000072,1.000037,1.000052,0.9998754,1.000005,0.999784,0.9998781,0.9999175,0.9999835,0.9999457,0.9998813,0.9997824,0.9999158,0.9997748,0.9999104,0.9999182,0.9999136,0.9998339,0.9999622,0.9997764,0.9998355,0.999814,0.9999408,0.9999256,0.99984,0.9999908,0.9997795,0.9999302,1.000076,0.9999521,0.9998034,0.9999267,1.000048,1.000059,0.9999663,0.9998931,0.9998259,0.9999998,1.000008,0.999814,1.000019,0.999833,1,0.9998404,1,1,1,1,1,1
5,0.999786,0.9997972,0.9999172,0.9999124,0.9998448,0.9998139,0.9998261,0.9998128,0.9998612,1.000097,0.9998131,0.9998968,1.000099,0.9998986,0.9998242,0.9999261,0.9998688,0.9998636,0.9998637,0.9998757,0.9998473,1.000005,0.9999384,1.000116,1.000079,1.000082,0.9998711,1.000015,0.9997465,0.999874,0.9999312,0.9999922,0.9999517,0.9998765,0.9997524,0.9999079,0.9997459,0.999925,0.9999362,0.9999306,0.9998223,0.9999869,0.9997502,0.9998197,0.999797,0.9999401,0.9999215,0.9998059,1.00001,0.9997504,0.9999205,1.000114,0.9999625,0.9997693,0.9999313,1.00008,1.0001,0.9999747,0.9998904,0.9997874,1.000021,1.00003,0.9997839,1.000047,0.9998227,1,0.9998326,1,1,1,1,1,1
6,0.9997689,0.9997745,0.9999233,0.999919,0.9998268,0.9998004,0.9998195,0.9997978,0.9998564,1.000118,0.9997957,0.9999139,1.000127,0.9999091,0.9998076,0.9999458,0.9998547,0.9998462,0.9998568,0.9998764,0.9998431,1.000024,0.9999456,1.000149,1.000113,1.0001,0.9998629,1.000013,0.9997119,0.9998677,0.9999431,0.999993,0.999954,0.9998707,0.9997242,0.999896,0.999721,0.9999378,0.9999529,0.9999467,0.9998137,1.000007,0.9997283,0.999806,0.999783,0.9999354,0.9999132,0.9997733,1.000024,0.9997252,0.9999077,1.000137,0.999969,0.999741,0.999933,1.000101,1.000132,0.9999769,0.9998891,0.999751,1.000035,1.000044,0.9997591,1.000069,0.9998171,1,0.9998294,1,1,1,1,1,1
7,0.9997547,0.9997546,0.9999279,0.9999244,0.9998107,0.9997886,0.999815,0.9997845,0.9998518,1.000132,0.9997813,0.999933,1.000149,0.9999183,0.9997917,0.9999647,0.999841,0.9998282,0.9998493,0.999876,0.9998403,1.000039,0.9999508,1.000172,1.000135,1.000107,0.9998503,1.000001,0.99968,0.9998592,0.9999523,0.9999888,0.9999538,0.9998639,0.9996976,0.9998817,0.9996997,0.9999486,0.9999676,0.9999611,0.9998074,1.000023,0.9997107,0.9997937,0.9997709,0.9999281,0.9999018,0.999742,1.000033,0.9997035,0.9998947,1.00015,0.9999726,0.9997191,0.9999327,1.000112,1.000157,0.9999747,0.9998897,0.9997173,1.000043,1.000052,0.99974,1.000085,0.9998165,1,0.9998304,1,1,1,1,1,1
8,0.9997431,0.9997373,0.9999312,0.9999292,0.9997965,0.9997786,0.9998127,0.9997729,0.999848,1.000142,0.9997697,0.9999535,1.000165,0.9999253,0.9997765,0.9999822,0.999827,0.9998093,0.9998404,0.9998734,0.9998388,1.000051,0.9999544,1.000186,1.000148,1.000104,0.9998336,0.9999817,0.9996509,0.9998488,0.9999583,0.9999817,0.9999517,0.9998567,0.9996724,0.9998661,0.9996821,0.9999576,0.9999804,0.9999741,0.9998029,1.000035,0.9996969,0.9997821,0.9997599,0.99992,0.9998884,0.999712,1.000039,0.9996855,0.9998827,1.000153,0.9999747,0.9997036,0.9999318,1.000115,1.000177,0.9999699,0.9998922,0.9996867,1.000047,1.000055,0.9997271,1.000097,0.9998205,1,0.999835,1,1,1,1,1,1
9,0.999734,0.9997226,0.9999338,0.9999339,0.9997841,0.9997705,0.9998121,0.9997633,0.9998453,1.000149,0.9997612,0.9999746,1.000177,0.9999293,0.9997617,0.9999979,0.9998124,0.9997889,0.9998296,0.9998679,0.9998387,1.000061,0.999957,1.000194,1.000151,1.000094,0.9998137,0.9999571,0.9996246,0.999837,0.9999611,0.9999735,0.9999487,0.9998494,0.9996487,0.9998506,0.9996681,0.9999645,0.9999912,0.9999849,0.9998,1.000043,0.9996867,0.9997707,0.9997495,0.999912,0.9998741,0.9996833,1.000043,0.9996711,0.9998729,1.00015,0.9999761,0.999694,0.9999315,1.000114,1.000193,0.9999636,0.9998968,0.9996597,1.000049,1.000055,0.9997199,1.000107,0.9998284,1,0.9998428,1,1,1,1,1,1
10,0.9997271,0.9997103,0.9999362,0.9999388,0.9997732,0.9997641,0.9998137,0.9997555,0.9998441,1.000156,0.9997558,0.9999958,1.000186,0.9999305,0.9997476,1.000012,0.9997972,0.9997669,0.9998168,0.9998593,0.9998398,1.000068,0.9999589,1.000194,1.000145,1.000077,0.9997913,0.9999297,0.9996009,0.9998245,0.9999609,0.9999653,0.9999452,0.9998428,0.9996267,0.9998359,0.9996579,0.9999696,1,0.9999939,0.999798,1.000048,0.99968,0.9997593,0.9997395,0.9999052,0.9998593,0.9996561,1.000045,0.9996601,0.999866,1.000143,0.9999773,0.9996892,0.9999323,1.000108,1.000206,0.9999566,0.999903,0.9996366,1.000048,1.000053,0.9997178,1.000114,0.9998392,1,0.9998531,1,1,1,1,1,1
