EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Rays"

year\group,"Small sharks",
2020,7.344251E-05
2021,7.344156E-05
2022,7.34424E-05
2023,7.344189E-05
2024,7.343909E-05
2025,7.344134E-05
2026,7.344692E-05
2027,7.344763E-05
2028,7.344972E-05
2029,7.345614E-05
2030,7.345573E-05
2031,7.345345E-05
2032,7.345819E-05
2033,7.34568E-05
2034,7.345028E-05
2035,7.345477E-05
2036,7.345652E-05
2037,7.34478E-05
2038,7.345128E-05
2039,7.345698E-05
2040,7.3446E-05
2041,7.344643E-05
2042,7.3458E-05
2043,7.34469E-05
2044,7.344132E-05
2045,7.345847E-05
2046,7.345022E-05
2047,7.343597E-05
2048,7.345738E-05
2049,7.345626E-05
2050,7.343091E-05
2051,7.345302E-05
2052,7.346498E-05
2053,7.34282E-05
2054,7.3444E-05
2055,7.347477E-05
2056,7.342987E-05
2057,7.343001E-05
2058,7.348379E-05
2059,7.343848E-05
2060,7.34111E-05
2061,7.348836E-05
2062,7.345701E-05
2063,7.338996E-05
2064,7.348321E-05
2065,7.348613E-05
2066,7.337136E-05
2067,7.346312E-05
2068,7.352487E-05
2069,7.336261E-05
2070,7.342274E-05
2071,7.356818E-05
2072,7.337436E-05
2073,7.335994E-05
2074,7.360519E-05
2075,7.341745E-05
2076,7.327805E-05
2077,7.361955E-05
2078,7.350172E-05
2079,7.31883E-05
2080,7.358875E-05
2081,7.363158E-05
2082,7.311337E-05
2083,7.348806E-05
2084,7.379954E-05
2085,7.308655E-05
2086,7.329718E-05
2087,7.398062E-05
2088,7.315E-05
2089,7.300995E-05
2090,7.412337E-05
2091,7.334908E-05
2092,7.264865E-05
2093,7.414485E-05
2094,7.372047E-05
2095,7.227535E-05
2096,7.393324E-05
2097,7.427519E-05
2098,7.199684E-05
2099,7.336827E-05
2100,7.496513E-05
2101,7.195968E-05
2102,7.237921E-05
2103,7.562387E-05
2104,7.233652E-05
2105,7.104485E-05
2106,7.587941E-05
2107,7.330663E-05
2108,6.969828E-05
2109,7.507681E-05
2110,7.477173E-05
2111,6.941385E-05
2112,7.323866E-05
2113,7.61904E-05
2114,7.02255E-05
2115,7.123547E-05
2116,7.694783E-05
2117,7.174935E-05
2118,6.972261E-05
2119,7.652722E-05
