,Group name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1,Large sharks,1,1,1,1,0.04961536,0,0,0,0.03280806,1,0,0.9396337,0.2226144,0,0.01474338,0,0.1738313,0.187203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barracudas,1,1,1,1,0.04961536,0,0,0,0.03280806,1,0,0.9396337,0.2226144,0,0.01474338,0,0.1738313,0.187203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Australian Sea Lion,1,1,1,1,0.04961536,0,0,0,0.03280806,1,0,0.9396337,0.2226144,0,0.01474338,0,0.1738313,0.187203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bottlenose Dolphin,1,1,1,1,0.04961536,0,0,0,0.03280806,1,0,0.9396337,0.2226144,0,0.01474338,0,0.1738313,0.187203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tailors,0.04961536,0.04961536,0.04961536,0.04961536,0.9999999,0.8391617,0.0535921,0.8391617,0.9777523,0.04961536,0,0.1759962,0.6588196,0.1257083,0.01785114,0,0.2609032,0.07214198,0.001603119,0.004949247,0.02238855,0.4759511,0,0,0,0,0,0.002597248,0,0,0,0,0,0,0.001138466,0,0,0.001179483,0.001681049,0.002002679,0.002560785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Cormorants,0,0,0,0,0.8391617,1,0.05553972,1,0.7240759,0,0,0,0.4223027,0.1342499,0,0,0.2534237,0.06898832,0.001574242,0.005116396,0,0.510015,0,0,0,0,0,0.003091967,0,0,0,0,0,0,0.000913551,0,0,0.00122789,0.001592652,0.002033959,0.002544572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squids,0,0,0,0,0.0535921,0.05553972,1,0.05553972,0.04682572,0,0.5814567,0,0.05195939,0.3505252,0.02316686,0,0.3230761,0.3159159,0.03252765,0.01638365,0.12361,0.03239738,5.10E-05,0,0,0,0,0.2984839,0,0,0.000636279,0.0101001,0,0.000413846,0.02497341,0.001665198,8.61E-05,0.04347166,0.2001701,0.01737295,0.09275158,0.01142993,0,0.02565229,0,0.000217538,0,0,0,0.004489537,8.21E-05,0,0.5392544,8.92E-05,0,0,0,0.1389613,0,0,0,0,0.003571743,0,0.001198377,0.007542432,0.000183433,0,0.000482441,0,0,0
8,Australian Pelican,0,0,0,0,0.8391617,1,0.05553972,1,0.7240759,0,0,0,0.4223027,0.1342499,0,0,0.2534237,0.06898832,0.001574242,0.005116396,0,0.510015,0,0,0,0,0,0.003091967,0,0,0,0,0,0,0.000913551,0,0,0.00122789,0.001592652,0.002033959,0.002544572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Gulls and Terns,0.03280806,0.03280806,0.03280806,0.03280806,0.9777523,0.7240759,0.04682572,0.7240759,0.9999999,0.03280806,0,0.2063343,0.6842611,0.109523,0.02396093,0,0.2316974,0.06060942,0.001408259,0.004325409,0.03084507,0.4145397,0,0,0,0,0,0.002241238,0,0,0,0,0,0,0.001124979,0,0,0.001030114,0.001482272,0.001753289,0.002246807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Little Penguin,1,1,1,1,0.04961536,0,0,0,0.03280806,1,0,0.9396337,0.2226144,0,0.01474338,0,0.1738313,0.187203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
